Anime_name,episode,duration,members,Score
Shin Evangelion Movie: ||,Movie (1 eps),Mar 2021 - Mar 2021,"363,214 members",8.6
Suzumiya Haruhi no Shoushitsu,Movie (1 eps),Feb 2010 - Feb 2010,"600,437 members",8.6
Cyberpunk: Edgerunners,ONA (10 eps),Sep 2022 - Sep 2022,"673,916 members",8.6
Hajime no Ippo: Rising,TV (25 eps),Oct 2013 - Mar 2014,"251,933 members",8.6
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ONA (14 eps),Dec 2022 - Dec 2022,"179,113 members",8.59
Mushishi Zoku Shou: Suzu no Shizuku,Movie (1 eps),May 2015 - May 2015,"126,092 members",8.59
Kenpuu Denki Berserk,TV (25 eps),Oct 1997 - Apr 1998,"635,679 members",8.58
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV (39 eps),Oct 2018 - Jul 2019,"992,996 members",8.58
Kizumonogatari II: Nekketsu-hen,Movie (1 eps),Aug 2016 - Aug 2016,"435,462 members",8.57
Natsume Yuujinchou Go,TV (11 eps),Oct 2016 - Dec 2016,"182,033 members",8.57
Natsume Yuujinchou San,TV (13 eps),Jul 2011 - Sep 2011,"248,564 members",8.57
Ookami Kodomo no Ame to Yuki,Movie (1 eps),Jul 2012 - Jul 2012,"799,854 members",8.57
Shouwa Genroku Rakugo Shinjuu,TV (13 eps),Jan 2016 - Apr 2016,"286,884 members",8.57
Spy x Family,TV (12 eps),Apr 2022 - Jun 2022,"1,458,073 members",8.57
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie (1 eps),Apr 2009 - Apr 2009,"211,845 members",8.57
Yojouhan Shinwa Taikei,TV (11 eps),Apr 2010 - Jul 2010,"441,220 members",8.56
Kage no Jitsuryokusha ni Naritakute! 2nd Season,TV (12 eps),Oct 2023 -,"243,704 members",8.56
Fate/Zero 2nd Season,TV (12 eps),Apr 2012 - Jun 2012,"1,098,260 members",8.55
Fruits Basket 2nd Season,TV (25 eps),Apr 2020 - Sep 2020,"491,897 members",8.55
Haikyuu!! To the Top Part 2,TV (12 eps),Oct 2020 - Dec 2020,"786,308 members",8.55
Slam Dunk,TV (101 eps),Oct 1993 - Mar 1996,"292,945 members",8.55
Kimi no Suizou wo Tabetai,Movie (1 eps),Sep 2018 - Sep 2018,"933,066 members",8.55
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Movie (1 eps),Jul 1997 - Jul 1997,"909,848 members",8.55
Shoujo☆Kageki Revue Starlight Movie,Movie (1 eps),Jun 2021 - Jun 2021,"18,018 members",8.55
Nana,TV (47 eps),Apr 2006 - Mar 2007,"643,490 members",8.54
Perfect Blue,Movie (1 eps),Feb 1998 - Feb 1998,"684,707 members",8.54
Shingeki no Kyojin,TV (25 eps),Apr 2013 - Sep 2013,"3,848,692 members",8.54
Chainsaw Man,TV (12 eps),Oct 2022 - Dec 2022,"1,404,582 members",8.54
Zoku Natsume Yuujinchou,TV (13 eps),Jan 2009 - Mar 2009,"244,429 members",8.54
Steins;Gate 0,TV (23 eps),Apr 2018 - Sep 2018,"852,104 members",8.53
Yuru Camp△ Season 2,TV (13 eps),Jan 2021 - Apr 2021,"214,306 members",8.53
Mushishi: Hihamukage,Special (1 eps),Jan 2014 - Jan 2014,"136,734 members",8.53
Ousama Ranking,TV (23 eps),Oct 2021 - Mar 2022,"612,772 members",8.53
Bakuman. 3rd Season,TV (25 eps),Oct 2012 - Mar 2013,"326,038 members",8.53
Gintama Movie 1: Shinyaku Benizakura-hen,Movie (1 eps),Apr 2010 - Apr 2010,"161,202 members",8.52
Gintama.: Porori-hen,TV (13 eps),Oct 2017 - Dec 2017,"197,120 members",8.52
Sora yori mo Tooi Basho,TV (13 eps),Jan 2018 - Mar 2018,"492,117 members",8.52
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV (12 eps),Apr 2020 - Jun 2020,"1,302,289 members",8.64
Haikyuu!! Second Season,TV (25 eps),Oct 2015 - Mar 2016,"1,395,736 members",8.63
Pluto,ONA (8 eps),Oct 2023 - Oct 2023,"95,832 members",8.63
Tengen Toppa Gurren Lagann,TV (27 eps),Apr 2007 - Sep 2007,"1,581,221 members",8.63
Death Note,TV (37 eps),Oct 2006 - Jun 2007,"3,810,327 members",8.62
Jujutsu Kaisen,TV (24 eps),Oct 2020 - Mar 2021,"2,400,062 members",8.62
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie (1 eps),Jan 2020 - Jan 2020,"444,591 members",8.62
Natsume Yuujinchou Roku,TV (11 eps),Apr 2017 - Jun 2017,"182,369 members",8.62
Ping Pong the Animation,TV (11 eps),Apr 2014 - Jun 2014,"384,874 members",8.62
Shingeki no Kyojin Season 3,TV (12 eps),Jul 2018 - Oct 2018,"2,293,426 members",8.62
Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie (1 eps),Oct 2020 - Oct 2020,"1,476,430 members",8.6
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie (1 eps),Jun 2019 - Jun 2019,"689,216 members",8.6
Shin Evangelion Movie: ||,Movie (1 eps),Mar 2021 - Mar 2021,"363,214 members",8.6
Suzumiya Haruhi no Shoushitsu,Movie (1 eps),Feb 2010 - Feb 2010,"600,437 members",8.6
Cyberpunk: Edgerunners,ONA (10 eps),Sep 2022 - Sep 2022,"673,916 members",8.6
Hajime no Ippo: Rising,TV (25 eps),Oct 2013 - Mar 2014,"251,933 members",8.6
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ONA (14 eps),Dec 2022 - Dec 2022,"179,113 members",8.59
Mushishi Zoku Shou: Suzu no Shizuku,Movie (1 eps),May 2015 - May 2015,"126,092 members",8.59
Kenpuu Denki Berserk,TV (25 eps),Oct 1997 - Apr 1998,"635,679 members",8.58
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV (39 eps),Oct 2018 - Jul 2019,"992,996 members",8.58
Kizumonogatari II: Nekketsu-hen,Movie (1 eps),Aug 2016 - Aug 2016,"435,462 members",8.57
Natsume Yuujinchou Go,TV (11 eps),Oct 2016 - Dec 2016,"182,033 members",8.57
Natsume Yuujinchou San,TV (13 eps),Jul 2011 - Sep 2011,"248,564 members",8.57
Ookami Kodomo no Ame to Yuki,Movie (1 eps),Jul 2012 - Jul 2012,"799,854 members",8.57
Shouwa Genroku Rakugo Shinjuu,TV (13 eps),Jan 2016 - Apr 2016,"286,884 members",8.57
Spy x Family,TV (12 eps),Apr 2022 - Jun 2022,"1,458,073 members",8.57
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie (1 eps),Apr 2009 - Apr 2009,"211,845 members",8.57
Yojouhan Shinwa Taikei,TV (11 eps),Apr 2010 - Jul 2010,"441,220 members",8.56
Kage no Jitsuryokusha ni Naritakute! 2nd Season,TV (12 eps),Oct 2023 -,"243,704 members",8.56
Fate/Zero 2nd Season,TV (12 eps),Apr 2012 - Jun 2012,"1,098,260 members",8.55
Fruits Basket 2nd Season,TV (25 eps),Apr 2020 - Sep 2020,"491,897 members",8.55
Haikyuu!! To the Top Part 2,TV (12 eps),Oct 2020 - Dec 2020,"786,308 members",8.55
Slam Dunk,TV (101 eps),Oct 1993 - Mar 1996,"292,945 members",8.55
Kimi no Suizou wo Tabetai,Movie (1 eps),Sep 2018 - Sep 2018,"933,066 members",8.55
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Movie (1 eps),Jul 1997 - Jul 1997,"909,848 members",8.55
Shoujo☆Kageki Revue Starlight Movie,Movie (1 eps),Jun 2021 - Jun 2021,"18,018 members",8.55
Nana,TV (47 eps),Apr 2006 - Mar 2007,"643,490 members",8.54
Perfect Blue,Movie (1 eps),Feb 1998 - Feb 1998,"684,707 members",8.54
Shingeki no Kyojin,TV (25 eps),Apr 2013 - Sep 2013,"3,848,692 members",8.54
Chainsaw Man,TV (12 eps),Oct 2022 - Dec 2022,"1,404,582 members",8.54
Zoku Natsume Yuujinchou,TV (13 eps),Jan 2009 - Mar 2009,"244,429 members",8.54
Steins;Gate 0,TV (23 eps),Apr 2018 - Sep 2018,"852,104 members",8.53
Yuru Camp△ Season 2,TV (13 eps),Jan 2021 - Apr 2021,"214,306 members",8.53
Mushishi: Hihamukage,Special (1 eps),Jan 2014 - Jan 2014,"136,734 members",8.53
Ousama Ranking,TV (23 eps),Oct 2021 - Mar 2022,"612,772 members",8.53
Bakuman. 3rd Season,TV (25 eps),Oct 2012 - Mar 2013,"326,038 members",8.53
Gintama Movie 1: Shinyaku Benizakura-hen,Movie (1 eps),Apr 2010 - Apr 2010,"161,202 members",8.52
Gintama.: Porori-hen,TV (13 eps),Oct 2017 - Dec 2017,"197,120 members",8.52
Sora yori mo Tooi Basho,TV (13 eps),Jan 2018 - Mar 2018,"492,117 members",8.52
Kara no Kyoukai Movie 5: Mujun Rasen,Movie (1 eps),Aug 2008 - Aug 2008,"235,286 members",8.52
Haikyuu!! Second Season,TV (25 eps),Oct 2015 - Mar 2016,"1,395,736 members",8.63
Pluto,ONA (8 eps),Oct 2023 - Oct 2023,"95,827 members",8.63
Tengen Toppa Gurren Lagann,TV (27 eps),Apr 2007 - Sep 2007,"1,581,221 members",8.63
Death Note,TV (37 eps),Oct 2006 - Jun 2007,"3,810,327 members",8.62
Jujutsu Kaisen,TV (24 eps),Oct 2020 - Mar 2021,"2,400,062 members",8.62
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie (1 eps),Jan 2020 - Jan 2020,"444,591 members",8.62
Natsume Yuujinchou Roku,TV (11 eps),Apr 2017 - Jun 2017,"182,369 members",8.62
Ping Pong the Animation,TV (11 eps),Apr 2014 - Jun 2014,"384,874 members",8.62
Shingeki no Kyojin Season 3,TV (12 eps),Jul 2018 - Oct 2018,"2,293,426 members",8.62
Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie (1 eps),Oct 2020 - Oct 2020,"1,476,430 members",8.6
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie (1 eps),Jun 2019 - Jun 2019,"689,216 members",8.6
Shin Evangelion Movie: ||,Movie (1 eps),Mar 2021 - Mar 2021,"363,214 members",8.6
Suzumiya Haruhi no Shoushitsu,Movie (1 eps),Feb 2010 - Feb 2010,"600,437 members",8.6
Cyberpunk: Edgerunners,ONA (10 eps),Sep 2022 - Sep 2022,"673,916 members",8.6
Hajime no Ippo: Rising,TV (25 eps),Oct 2013 - Mar 2014,"251,933 members",8.6
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ONA (14 eps),Dec 2022 - Dec 2022,"179,113 members",8.59
Mushishi Zoku Shou: Suzu no Shizuku,Movie (1 eps),May 2015 - May 2015,"126,092 members",8.59
Kenpuu Denki Berserk,TV (25 eps),Oct 1997 - Apr 1998,"635,679 members",8.58
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV (39 eps),Oct 2018 - Jul 2019,"992,996 members",8.58
Kizumonogatari II: Nekketsu-hen,Movie (1 eps),Aug 2016 - Aug 2016,"435,431 members",8.57
Natsume Yuujinchou Go,TV (11 eps),Oct 2016 - Dec 2016,"182,033 members",8.57
Natsume Yuujinchou San,TV (13 eps),Jul 2011 - Sep 2011,"248,564 members",8.57
Ookami Kodomo no Ame to Yuki,Movie (1 eps),Jul 2012 - Jul 2012,"799,854 members",8.57
Shouwa Genroku Rakugo Shinjuu,TV (13 eps),Jan 2016 - Apr 2016,"286,884 members",8.57
Spy x Family,TV (12 eps),Apr 2022 - Jun 2022,"1,458,073 members",8.57
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie (1 eps),Apr 2009 - Apr 2009,"211,845 members",8.57
Yojouhan Shinwa Taikei,TV (11 eps),Apr 2010 - Jul 2010,"441,220 members",8.56
Kage no Jitsuryokusha ni Naritakute! 2nd Season,TV (12 eps),Oct 2023 -,"243,690 members",8.56
Fate/Zero 2nd Season,TV (12 eps),Apr 2012 - Jun 2012,"1,098,260 members",8.55
Fruits Basket 2nd Season,TV (25 eps),Apr 2020 - Sep 2020,"491,897 members",8.55
Haikyuu!! To the Top Part 2,TV (12 eps),Oct 2020 - Dec 2020,"786,308 members",8.55
Slam Dunk,TV (101 eps),Oct 1993 - Mar 1996,"292,945 members",8.55
Kimi no Suizou wo Tabetai,Movie (1 eps),Sep 2018 - Sep 2018,"933,066 members",8.55
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Movie (1 eps),Jul 1997 - Jul 1997,"909,848 members",8.55
Shoujo☆Kageki Revue Starlight Movie,Movie (1 eps),Jun 2021 - Jun 2021,"18,018 members",8.55
Nana,TV (47 eps),Apr 2006 - Mar 2007,"643,490 members",8.54
Perfect Blue,Movie (1 eps),Feb 1998 - Feb 1998,"684,707 members",8.54
Shingeki no Kyojin,TV (25 eps),Apr 2013 - Sep 2013,"3,848,692 members",8.54
Chainsaw Man,TV (12 eps),Oct 2022 - Dec 2022,"1,404,582 members",8.54
Zoku Natsume Yuujinchou,TV (13 eps),Jan 2009 - Mar 2009,"244,429 members",8.54
Steins;Gate 0,TV (23 eps),Apr 2018 - Sep 2018,"852,104 members",8.53
Yuru Camp△ Season 2,TV (13 eps),Jan 2021 - Apr 2021,"214,306 members",8.53
Mushishi: Hihamukage,Special (1 eps),Jan 2014 - Jan 2014,"136,734 members",8.53
Ousama Ranking,TV (23 eps),Oct 2021 - Mar 2022,"612,772 members",8.53
Bakuman. 3rd Season,TV (25 eps),Oct 2012 - Mar 2013,"326,038 members",8.53
Gintama Movie 1: Shinyaku Benizakura-hen,Movie (1 eps),Apr 2010 - Apr 2010,"161,202 members",8.52
Gintama.: Porori-hen,TV (13 eps),Oct 2017 - Dec 2017,"197,120 members",8.52
Sora yori mo Tooi Basho,TV (13 eps),Jan 2018 - Mar 2018,"492,117 members",8.52
Kara no Kyoukai Movie 5: Mujun Rasen,Movie (1 eps),Aug 2008 - Aug 2008,"235,286 members",8.52
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,TV (26 eps),Jan 2004 - Jan 2005,"224,313 members",8.52
Pluto,ONA (8 eps),Oct 2023 - Oct 2023,"95,832 members",8.63
Tengen Toppa Gurren Lagann,TV (27 eps),Apr 2007 - Sep 2007,"1,581,221 members",8.63
Death Note,TV (37 eps),Oct 2006 - Jun 2007,"3,810,327 members",8.62
Jujutsu Kaisen,TV (24 eps),Oct 2020 - Mar 2021,"2,400,062 members",8.62
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie (1 eps),Jan 2020 - Jan 2020,"444,591 members",8.62
Natsume Yuujinchou Roku,TV (11 eps),Apr 2017 - Jun 2017,"182,369 members",8.62
Ping Pong the Animation,TV (11 eps),Apr 2014 - Jun 2014,"384,874 members",8.62
Shingeki no Kyojin Season 3,TV (12 eps),Jul 2018 - Oct 2018,"2,293,426 members",8.62
Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie (1 eps),Oct 2020 - Oct 2020,"1,476,430 members",8.6
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie (1 eps),Jun 2019 - Jun 2019,"689,216 members",8.6
Shin Evangelion Movie: ||,Movie (1 eps),Mar 2021 - Mar 2021,"363,214 members",8.6
Suzumiya Haruhi no Shoushitsu,Movie (1 eps),Feb 2010 - Feb 2010,"600,437 members",8.6
Cyberpunk: Edgerunners,ONA (10 eps),Sep 2022 - Sep 2022,"673,916 members",8.6
Hajime no Ippo: Rising,TV (25 eps),Oct 2013 - Mar 2014,"251,933 members",8.6
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ONA (14 eps),Dec 2022 - Dec 2022,"179,113 members",8.59
Mushishi Zoku Shou: Suzu no Shizuku,Movie (1 eps),May 2015 - May 2015,"126,092 members",8.59
Kenpuu Denki Berserk,TV (25 eps),Oct 1997 - Apr 1998,"635,679 members",8.58
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV (39 eps),Oct 2018 - Jul 2019,"992,996 members",8.58
Kizumonogatari II: Nekketsu-hen,Movie (1 eps),Aug 2016 - Aug 2016,"435,462 members",8.57
Natsume Yuujinchou Go,TV (11 eps),Oct 2016 - Dec 2016,"182,033 members",8.57
Natsume Yuujinchou San,TV (13 eps),Jul 2011 - Sep 2011,"248,564 members",8.57
Ookami Kodomo no Ame to Yuki,Movie (1 eps),Jul 2012 - Jul 2012,"799,854 members",8.57
Shouwa Genroku Rakugo Shinjuu,TV (13 eps),Jan 2016 - Apr 2016,"286,884 members",8.57
Spy x Family,TV (12 eps),Apr 2022 - Jun 2022,"1,458,073 members",8.57
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie (1 eps),Apr 2009 - Apr 2009,"211,845 members",8.57
Yojouhan Shinwa Taikei,TV (11 eps),Apr 2010 - Jul 2010,"441,220 members",8.56
Kage no Jitsuryokusha ni Naritakute! 2nd Season,TV (12 eps),Oct 2023 -,"243,704 members",8.56
Fate/Zero 2nd Season,TV (12 eps),Apr 2012 - Jun 2012,"1,098,260 members",8.55
Fruits Basket 2nd Season,TV (25 eps),Apr 2020 - Sep 2020,"491,897 members",8.55
Haikyuu!! To the Top Part 2,TV (12 eps),Oct 2020 - Dec 2020,"786,308 members",8.55
Slam Dunk,TV (101 eps),Oct 1993 - Mar 1996,"292,945 members",8.55
Kimi no Suizou wo Tabetai,Movie (1 eps),Sep 2018 - Sep 2018,"933,066 members",8.55
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Movie (1 eps),Jul 1997 - Jul 1997,"909,848 members",8.55
Shoujo☆Kageki Revue Starlight Movie,Movie (1 eps),Jun 2021 - Jun 2021,"18,018 members",8.55
Nana,TV (47 eps),Apr 2006 - Mar 2007,"643,490 members",8.54
Perfect Blue,Movie (1 eps),Feb 1998 - Feb 1998,"684,707 members",8.54
Shingeki no Kyojin,TV (25 eps),Apr 2013 - Sep 2013,"3,848,692 members",8.54
Chainsaw Man,TV (12 eps),Oct 2022 - Dec 2022,"1,404,582 members",8.54
Zoku Natsume Yuujinchou,TV (13 eps),Jan 2009 - Mar 2009,"244,429 members",8.54
Steins;Gate 0,TV (23 eps),Apr 2018 - Sep 2018,"852,104 members",8.53
Yuru Camp△ Season 2,TV (13 eps),Jan 2021 - Apr 2021,"214,306 members",8.53
Mushishi: Hihamukage,Special (1 eps),Jan 2014 - Jan 2014,"136,734 members",8.53
Ousama Ranking,TV (23 eps),Oct 2021 - Mar 2022,"612,772 members",8.53
Bakuman. 3rd Season,TV (25 eps),Oct 2012 - Mar 2013,"326,038 members",8.53
Gintama Movie 1: Shinyaku Benizakura-hen,Movie (1 eps),Apr 2010 - Apr 2010,"161,202 members",8.52
Gintama.: Porori-hen,TV (13 eps),Oct 2017 - Dec 2017,"197,120 members",8.52
Sora yori mo Tooi Basho,TV (13 eps),Jan 2018 - Mar 2018,"492,117 members",8.52
Kara no Kyoukai Movie 5: Mujun Rasen,Movie (1 eps),Aug 2008 - Aug 2008,"235,286 members",8.52
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,TV (26 eps),Jan 2004 - Jan 2005,"224,313 members",8.52
Samurai Champloo,TV (26 eps),May 2004 - Mar 2005,"1,214,930 members",8.51
Tengen Toppa Gurren Lagann,TV (27 eps),Apr 2007 - Sep 2007,"1,581,221 members",8.63
Death Note,TV (37 eps),Oct 2006 - Jun 2007,"3,810,327 members",8.62
Jujutsu Kaisen,TV (24 eps),Oct 2020 - Mar 2021,"2,400,062 members",8.62
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie (1 eps),Jan 2020 - Jan 2020,"444,591 members",8.62
Natsume Yuujinchou Roku,TV (11 eps),Apr 2017 - Jun 2017,"182,369 members",8.62
Ping Pong the Animation,TV (11 eps),Apr 2014 - Jun 2014,"384,874 members",8.62
Shingeki no Kyojin Season 3,TV (12 eps),Jul 2018 - Oct 2018,"2,293,426 members",8.62
Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie (1 eps),Oct 2020 - Oct 2020,"1,476,430 members",8.6
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie (1 eps),Jun 2019 - Jun 2019,"689,216 members",8.6
Shin Evangelion Movie: ||,Movie (1 eps),Mar 2021 - Mar 2021,"363,214 members",8.6
Suzumiya Haruhi no Shoushitsu,Movie (1 eps),Feb 2010 - Feb 2010,"600,437 members",8.6
Cyberpunk: Edgerunners,ONA (10 eps),Sep 2022 - Sep 2022,"673,916 members",8.6
Hajime no Ippo: Rising,TV (25 eps),Oct 2013 - Mar 2014,"251,933 members",8.6
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ONA (14 eps),Dec 2022 - Dec 2022,"179,113 members",8.59
Mushishi Zoku Shou: Suzu no Shizuku,Movie (1 eps),May 2015 - May 2015,"126,092 members",8.59
Kenpuu Denki Berserk,TV (25 eps),Oct 1997 - Apr 1998,"635,679 members",8.58
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV (39 eps),Oct 2018 - Jul 2019,"992,996 members",8.58
Kizumonogatari II: Nekketsu-hen,Movie (1 eps),Aug 2016 - Aug 2016,"435,462 members",8.57
Natsume Yuujinchou Go,TV (11 eps),Oct 2016 - Dec 2016,"182,033 members",8.57
Natsume Yuujinchou San,TV (13 eps),Jul 2011 - Sep 2011,"248,564 members",8.57
Ookami Kodomo no Ame to Yuki,Movie (1 eps),Jul 2012 - Jul 2012,"799,854 members",8.57
Shouwa Genroku Rakugo Shinjuu,TV (13 eps),Jan 2016 - Apr 2016,"286,884 members",8.57
Spy x Family,TV (12 eps),Apr 2022 - Jun 2022,"1,458,073 members",8.57
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie (1 eps),Apr 2009 - Apr 2009,"211,845 members",8.57
Yojouhan Shinwa Taikei,TV (11 eps),Apr 2010 - Jul 2010,"441,220 members",8.56
Kage no Jitsuryokusha ni Naritakute! 2nd Season,TV (12 eps),Oct 2023 -,"243,704 members",8.56
Fate/Zero 2nd Season,TV (12 eps),Apr 2012 - Jun 2012,"1,098,260 members",8.55
Fruits Basket 2nd Season,TV (25 eps),Apr 2020 - Sep 2020,"491,897 members",8.55
Haikyuu!! To the Top Part 2,TV (12 eps),Oct 2020 - Dec 2020,"786,308 members",8.55
Slam Dunk,TV (101 eps),Oct 1993 - Mar 1996,"292,945 members",8.55
Kimi no Suizou wo Tabetai,Movie (1 eps),Sep 2018 - Sep 2018,"933,066 members",8.55
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Movie (1 eps),Jul 1997 - Jul 1997,"909,848 members",8.55
Shoujo☆Kageki Revue Starlight Movie,Movie (1 eps),Jun 2021 - Jun 2021,"18,018 members",8.55
Nana,TV (47 eps),Apr 2006 - Mar 2007,"643,490 members",8.54
Perfect Blue,Movie (1 eps),Feb 1998 - Feb 1998,"684,707 members",8.54
Shingeki no Kyojin,TV (25 eps),Apr 2013 - Sep 2013,"3,848,692 members",8.54
Chainsaw Man,TV (12 eps),Oct 2022 - Dec 2022,"1,404,582 members",8.54
Zoku Natsume Yuujinchou,TV (13 eps),Jan 2009 - Mar 2009,"244,429 members",8.54
Steins;Gate 0,TV (23 eps),Apr 2018 - Sep 2018,"852,104 members",8.53
Yuru Camp△ Season 2,TV (13 eps),Jan 2021 - Apr 2021,"214,306 members",8.53
Mushishi: Hihamukage,Special (1 eps),Jan 2014 - Jan 2014,"136,734 members",8.53
Ousama Ranking,TV (23 eps),Oct 2021 - Mar 2022,"612,772 members",8.53
Bakuman. 3rd Season,TV (25 eps),Oct 2012 - Mar 2013,"326,038 members",8.53
Gintama Movie 1: Shinyaku Benizakura-hen,Movie (1 eps),Apr 2010 - Apr 2010,"161,202 members",8.52
Gintama.: Porori-hen,TV (13 eps),Oct 2017 - Dec 2017,"197,120 members",8.52
Sora yori mo Tooi Basho,TV (13 eps),Jan 2018 - Mar 2018,"492,117 members",8.52
Kara no Kyoukai Movie 5: Mujun Rasen,Movie (1 eps),Aug 2008 - Aug 2008,"235,286 members",8.52
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,TV (26 eps),Jan 2004 - Jan 2005,"224,313 members",8.52
Samurai Champloo,TV (26 eps),May 2004 - Mar 2005,"1,214,930 members",8.51
Shingeki no Kyojin Season 2,TV (12 eps),Apr 2017 - Jun 2017,"2,647,342 members",8.51
Death Note,TV (37 eps),Oct 2006 - Jun 2007,"3,810,327 members",8.62
Jujutsu Kaisen,TV (24 eps),Oct 2020 - Mar 2021,"2,400,062 members",8.62
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie (1 eps),Jan 2020 - Jan 2020,"444,591 members",8.62
Natsume Yuujinchou Roku,TV (11 eps),Apr 2017 - Jun 2017,"182,369 members",8.62
Ping Pong the Animation,TV (11 eps),Apr 2014 - Jun 2014,"384,874 members",8.62
Shingeki no Kyojin Season 3,TV (12 eps),Jul 2018 - Oct 2018,"2,293,426 members",8.62
Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie (1 eps),Oct 2020 - Oct 2020,"1,476,430 members",8.6
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie (1 eps),Jun 2019 - Jun 2019,"689,216 members",8.6
Shin Evangelion Movie: ||,Movie (1 eps),Mar 2021 - Mar 2021,"363,214 members",8.6
Suzumiya Haruhi no Shoushitsu,Movie (1 eps),Feb 2010 - Feb 2010,"600,437 members",8.6
Cyberpunk: Edgerunners,ONA (10 eps),Sep 2022 - Sep 2022,"673,916 members",8.6
Hajime no Ippo: Rising,TV (25 eps),Oct 2013 - Mar 2014,"251,933 members",8.6
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ONA (14 eps),Dec 2022 - Dec 2022,"179,113 members",8.59
Mushishi Zoku Shou: Suzu no Shizuku,Movie (1 eps),May 2015 - May 2015,"126,092 members",8.59
Kenpuu Denki Berserk,TV (25 eps),Oct 1997 - Apr 1998,"635,679 members",8.58
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV (39 eps),Oct 2018 - Jul 2019,"992,996 members",8.58
Kizumonogatari II: Nekketsu-hen,Movie (1 eps),Aug 2016 - Aug 2016,"435,462 members",8.57
Natsume Yuujinchou Go,TV (11 eps),Oct 2016 - Dec 2016,"182,033 members",8.57
Natsume Yuujinchou San,TV (13 eps),Jul 2011 - Sep 2011,"248,564 members",8.57
Ookami Kodomo no Ame to Yuki,Movie (1 eps),Jul 2012 - Jul 2012,"799,854 members",8.57
Shouwa Genroku Rakugo Shinjuu,TV (13 eps),Jan 2016 - Apr 2016,"286,884 members",8.57
Spy x Family,TV (12 eps),Apr 2022 - Jun 2022,"1,458,073 members",8.57
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie (1 eps),Apr 2009 - Apr 2009,"211,845 members",8.57
Yojouhan Shinwa Taikei,TV (11 eps),Apr 2010 - Jul 2010,"441,220 members",8.56
Kage no Jitsuryokusha ni Naritakute! 2nd Season,TV (12 eps),Oct 2023 -,"243,704 members",8.56
Fate/Zero 2nd Season,TV (12 eps),Apr 2012 - Jun 2012,"1,098,260 members",8.55
Fruits Basket 2nd Season,TV (25 eps),Apr 2020 - Sep 2020,"491,897 members",8.55
Haikyuu!! To the Top Part 2,TV (12 eps),Oct 2020 - Dec 2020,"786,308 members",8.55
